FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
278419.291	279529.124	1113.174	950.769	443.204	0.000	0.027	0.999	1.022	2.273	3.936	5.169	Infant100	data
279555.782	280305.689	753.268	1044.615	456.300	1.000	0.199	0.999	1.478	3.913	4.408	6.527	Infant100	data
280319.016	280462.349	146.693	1002.906	536.502	1.000	0.318	0.999	1.661	5.188	3.079	4.763	Infant100	data
280579.023	280875.576	299.916	1014.429	630.150	1.000	0.289	0.999	2.928	8.151	2.691	8.920	Infant100	data
280902.315	282478.758	1579.712	1437.168	853.002	0.000	0.019	0.999	1.174	3.018	3.350	6.116	Infant100	data
282512.025	282682.000	173.335	983.378	410.631	0.000	0.058	0.999	0.891	1.376	2.454	2.118	Infant100	data
282972.022	283175.271	206.603	978.011	447.708	1.000	0.194	0.999	1.055	2.124	2.754	2.717	Infant100	data
283228.565	283445.252	220.044	980.134	447.863	1.000	0.258	0.999	1.112	2.435	2.159	3.231	Infant100	data
283491.945	284025.190	536.501	1464.877	927.932	0.000	0.025	0.999	1.050	2.450	4.189	5.165	Infant100	data
284035.159	284255.090	223.284	1394.913	941.841	0.000	0.164	0.999	0.872	1.827	2.085	3.236	Infant100	data
284281.730	284935.029	656.649	1438.138	860.566	1.000	0.041	0.999	1.391	3.604	3.638	6.417	Infant100	data
285001.664	285231.657	233.351	467.943	823.360	0.000	0.000	0.999	0.789	1.073	1.510	3.452	Infant100	data
285258.310	285844.874	589.905	349.865	884.996	0.000	0.000	0.999	0.797	1.002	1.273	4.469	Infant100	data
292187.369	292613.888	429.888	554.593	423.899	1.000	0.023	0.999	0.650	1.292	1.951	2.411	Infant100	data
292640.545	294063.688	1426.491	371.171	240.417	0.000	0.000	0.999	0.391	0.554	1.906	1.545	Infant100	data
294113.741	294363.679	253.298	1129.660	273.634	0.000	0.000	0.999	0.803	1.507	2.230	3.110	Infant100	data
294386.969	294973.552	589.917	919.667	409.066	0.000	0.017	0.999	0.998	2.007	2.378	4.590	Infant100	data
295010.243	295236.886	230.007	1389.019	701.803	0.000	0.000	0.999	1.259	2.521	1.749	5.997	Infant100	data
295263.546	295876.753	616.557	1480.493	906.795	0.000	0.016	0.999	0.990	2.719	3.376	5.338	Infant100	data
295900.142	296526.658	629.885	1450.386	841.511	0.000	0.127	0.999	1.587	4.278	3.919	7.940	Infant100	data
296590.051	296900.008	313.215	306.159	792.194	0.000	0.011	0.999	0.606	0.750	1.231	2.893	Infant100	data
296913.332	297279.953	369.895	321.647	824.632	0.000	0.000	0.999	0.502	0.458	1.229	2.520	Infant100	data
301419.281	301489.269	73.329	728.851	1107.536	1.000	0.000	0.999	0.706	1.031	1.512	1.803	Infant100	data
301516.003	301795.961	283.217	632.288	1035.958	0.000	0.000	0.999	0.620	0.795	1.503	2.487	Infant100	data
303488.980	303622.342	136.722	1437.986	358.572	1.000	0.049	0.999	0.544	1.028	1.382	1.779	Infant100	data
304052.245	304118.970	69.975	1246.656	411.100	1.000	0.286	0.999	1.083	3.021	2.105	2.639	Infant100	data
304175.549	304525.559	353.292	1050.106	362.994	1.000	0.066	0.999	1.106	2.260	4.549	3.851	Infant100	data
304575.515	304935.442	363.265	1045.381	393.888	1.000	0.064	0.999	0.942	2.348	3.255	2.936	Infant100	data
304982.121	305045.496	66.645	1192.092	438.209	1.000	0.350	0.999	5.470	17.973	6.786	4.796	Infant100	data
305098.795	305365.417	269.968	1064.497	449.344	1.000	0.321	0.999	1.212	5.493	4.422	5.649	Infant100	data
305392.069	305575.373	186.671	1404.024	891.324	1.000	0.518	0.999	0.665	2.240	2.045	2.385	Infant100	data
305592.065	305855.327	266.624	1426.946	851.474	1.000	0.425	0.999	1.480	3.837	2.642	5.262	Infant100	data
305935.312	306188.605	256.648	1076.876	406.849	1.000	0.195	0.999	1.230	6.102	4.915	5.294	Infant100	data
306425.299	306541.886	119.942	1152.990	311.383	1.000	0.528	0.999	1.184	1.756	2.909	1.672	Infant100	data
306568.557	306818.577	253.269	871.918	288.617	1.000	0.263	0.999	0.884	2.496	3.793	2.615	Infant100	data
307111.853	307535.136	426.645	885.409	185.710	0.000	0.039	0.999	0.756	1.034	1.670	3.197	Infant100	data
307771.750	307898.399	130.009	860.365	131.952	1.000	0.077	0.999	0.854	1.516	1.685	3.438	Infant100	data
307925.053	308075.010	153.299	802.677	37.777	1.000	0.000	0.999	0.509	0.557	1.298	1.528	Infant100	data
308461.658	309051.563	593.267	646.658	-115.585	1.000	0.006	0.999	0.557	0.895	1.502	3.586	Infant100	data
309081.566	309284.833	206.614	862.262	-178.670	0.000	0.000	0.999	0.482	0.374	0.933	1.765	Infant100	data
309311.581	309558.161	249.939	994.069	-143.261	0.000	0.000	0.999	0.536	0.452	1.157	1.796	Infant100	data
309981.429	310744.678	766.507	932.023	388.926	0.000	0.043	0.999	0.853	1.752	3.085	3.977	Infant100	data
311007.957	311131.245	126.646	1169.235	362.694	1.000	0.632	0.999	1.166	1.743	2.540	1.385	Infant100	data
311154.627	311201.233	49.964	940.602	340.609	0.000	0.133	0.999	0.797	1.325	1.340	1.585	Infant100	data
312131.109	313337.601	1209.825	334.362	871.673	1.000	0.000	0.999	0.522	0.736	1.479	4.145	Infant100	data
314780.756	314953.993	176.588	1330.369	645.156	1.000	0.057	0.999	1.318	10.591	4.553	6.653	Infant100	data
315034.054	315197.311	166.626	1042.688	1050.934	0.000	0.000	0.999	0.640	3.021	3.114	3.435	Infant100	data
315227.334	315383.986	160.012	1169.472	538.999	1.000	0.313	0.999	1.594	5.958	3.468	4.238	Infant100	data
315707.273	316377.146	673.221	1159.272	523.165	1.000	0.446	0.999	1.929	7.083	4.072	6.803	Infant100	data
316617.116	316727.083	113.307	1144.938	538.704	1.000	0.441	0.999	2.934	8.307	2.605	6.139	Infant100	data
316757.090	316887.085	133.351	1467.359	876.082	1.000	0.125	0.999	0.796	2.496	2.630	2.430	Infant100	data
316957.069	317027.058	73.347	1544.221	854.349	1.000	0.591	0.999	1.024	1.204	0.904	1.733	Infant100	data
317213.729	317320.357	109.960	1477.695	870.899	1.000	0.273	0.999	1.038	4.842	2.378	5.341	Infant100	data
317373.661	317703.637	333.330	1472.615	865.236	0.000	0.050	0.999	0.901	1.788	2.379	3.590	Infant100	data
322229.608	322582.928	356.656	1377.288	450.607	1.000	0.252	0.999	1.827	11.600	7.289	6.212	Infant100	data
322612.914	322976.174	366.624	1231.624	264.958	0.000	0.000	0.999	0.640	0.754	1.204	3.640	Infant100	data
323002.833	323356.141	356.650	1465.133	250.055	1.000	0.047	0.999	0.929	2.039	5.382	3.297	Infant100	data
329601.874	329871.856	273.327	1587.859	148.419	0.000	0.000	0.999	0.924	1.573	3.726	2.096	Infant100	data
333314.750	333704.661	393.275	1162.932	333.547	0.000	0.102	0.999	1.182	3.267	3.281	4.039	Infant100	data
333724.621	333957.957	236.696	1146.052	401.804	0.000	0.000	0.999	0.919	1.644	1.891	2.737	Infant100	data
333991.325	335001.155	1013.097	1471.406	256.145	0.000	0.003	0.999	0.547	1.022	2.534	3.749	Infant100	data
335037.778	335077.749	43.335	641.914	407.848	0.000	0.000	0.999	1.243	10.254	13.446	2.780	Infant100	data
335097.794	335144.493	49.941	-609.730	506.165	0.000	0.000	0.999	5.508	130.065	33.991	5.714	Infant100	data
339683.787	339727.124	46.699	1259.062	280.791	1.000	0.643	0.999	1.185	25.127	13.354	1.966	Infant100	data
339777.078	339977.060	203.327	1924.073	547.755	0.000	0.000	0.999	1.068	2.616	3.190	3.119	Infant100	data
339987.033	340157.019	173.337	1886.279	588.562	0.000	0.000	0.999	1.180	2.769	3.070	2.928	Infant100	data
340197.004	340916.904	723.256	1083.626	394.312	0.000	0.171	0.999	1.101	3.676	3.692	4.133	Infant100	data
340933.584	341480.155	549.931	998.830	396.839	0.000	0.006	0.999	1.147	2.852	5.439	4.299	Infant100	data
341510.165	341580.156	73.350	547.583	547.140	1.000	0.136	0.999	1.159	10.567	5.916	3.391	Infant100	data
341760.129	342486.724	729.849	368.284	882.444	1.000	0.005	0.999	0.926	1.352	1.663	5.322	Infant100	data
342503.418	342706.665	206.602	315.216	887.403	0.000	0.000	0.999	0.918	1.478	2.316	2.377	Infant100	data
342723.347	342896.694	176.620	351.776	795.925	1.000	0.019	0.999	0.941	1.771	1.975	3.634	Infant100	data
342939.916	343076.639	140.009	567.713	673.018	1.000	0.000	0.999	0.738	1.061	1.617	2.440	Infant100	data
429484.127	429694.085	213.324	-320.887	994.899	0.000	0.000	0.999	1.534	5.687	5.552	2.932	Infant100	data
429747.397	430074.053	329.991	678.457	658.181	0.000	0.010	0.999	1.678	4.657	3.982	6.353	Infant100	data
430100.684	430383.996	286.671	391.619	830.056	0.000	0.000	0.999	0.781	1.392	1.541	3.613	Infant100	data
430407.407	430650.612	246.570	392.312	892.809	0.000	0.000	0.999	0.411	0.376	1.247	1.015	Infant100	data
430720.605	430917.267	199.993	550.806	210.362	1.000	0.083	0.999	0.608	2.547	6.683	2.898	Infant100	data
431160.562	431377.244	219.947	620.499	255.573	1.000	0.167	0.999	0.728	1.122	1.507	2.707	Infant100	data
431403.897	431470.528	69.990	372.855	297.280	1.000	0.143	0.999	0.588	2.097	1.987	2.012	Infant100	data
431530.546	431690.467	163.267	389.385	755.625	0.000	0.000	0.999	0.333	0.253	0.870	0.866	Infant100	data
431713.850	432307.122	596.529	363.285	868.300	0.000	0.000	0.999	0.615	0.651	1.216	3.527	Infant100	data
432350.370	432510.368	163.355	372.733	288.696	0.000	0.000	0.999	0.420	0.337	1.136	0.901	Infant100	data
432540.378	432770.385	233.252	414.448	294.088	1.000	0.000	0.999	0.595	0.821	1.920	2.226	Infant100	data
432810.361	432867.018	59.913	477.366	787.876	0.000	0.000	0.999	0.253	0.102	0.573	0.345	Infant100	data
432943.634	433090.302	150.021	880.052	150.906	0.000	0.022	0.999	0.598	2.477	2.331	3.095	Infant100	data
435739.959	435996.511	259.902	917.601	421.864	1.000	0.244	0.999	0.701	0.861	1.249	3.913	Infant100	data
436013.177	436586.421	576.583	894.387	444.750	0.000	0.006	0.999	0.648	1.445	2.487	3.481	Infant100	data
436626.486	436709.808	86.592	816.690	399.095	1.000	0.115	0.999	1.393	3.797	2.486	2.838	Infant100	data
436723.132	436846.419	126.650	865.650	437.241	0.000	0.000	0.999	0.699	1.042	1.802	1.882	Infant100	data
436869.712	437033.093	166.650	716.085	506.335	1.000	0.000	0.999	0.708	0.973	1.197	3.215	Infant100	data
438926.101	439032.767	109.978	1105.200	455.394	1.000	0.000	0.999	0.431	0.754	1.000	1.614	Infant100	data
439052.753	439246.046	196.633	921.806	444.525	0.000	0.305	0.999	0.813	1.903	2.522	3.095	Infant100	data
441789.071	441982.350	196.637	1129.646	275.498	1.000	0.000	0.999	0.538	0.660	1.102	2.101	Infant100	data
442012.363	442208.981	199.995	1487.458	200.202	0.000	0.117	0.999	1.445	2.937	2.956	3.493	Infant100	data
442228.941	442415.597	190.015	1457.748	227.496	0.000	0.000	0.999	0.434	0.531	1.293	1.360	Infant100	data
442448.969	443295.533	849.822	914.687	439.126	0.000	0.004	0.999	0.751	1.285	2.125	3.587	Infant100	data
443332.136	443445.468	116.693	1406.971	754.616	1.000	0.000	0.999	1.161	2.535	2.435	2.836	Infant100	data
444691.925	444911.972	223.292	387.564	180.697	0.000	0.030	0.999	0.744	1.256	1.844	2.340	Infant100	data
445428.505	445628.492	203.353	610.300	219.923	1.000	0.262	0.999	0.493	0.698	1.106	1.697	Infant100	data
445655.149	446161.713	509.915	597.206	212.992	1.000	0.359	0.999	0.586	1.038	1.724	2.792	Infant100	data
446188.368	446411.750	226.632	942.863	323.118	0.000	0.059	0.999	1.116	4.550	7.091	2.246	Infant100	data
446428.346	446598.305	173.323	937.709	361.411	0.000	0.250	0.999	0.904	2.000	2.993	2.382	Infant100	data
446611.652	446764.948	156.638	941.964	388.025	0.000	0.617	0.999	1.651	3.497	3.998	2.572	Infant100	data
447014.975	447311.619	299.886	923.842	411.426	0.000	0.289	0.999	1.064	2.649	2.695	2.133	Infant100	data
447338.269	447388.206	53.296	490.542	983.983	1.000	0.188	0.999	6.035	63.784	6.261	19.538	Infant100	data
448004.782	448368.036	366.597	867.358	870.828	1.000	0.345	0.999	2.196	11.955	7.092	8.999	Infant100	data
450221.153	450337.756	119.957	358.751	211.786	1.000	0.139	0.999	4.148	21.833	22.596	5.372	Infant100	data
450371.106	451300.983	933.237	895.509	372.657	0.000	0.075	0.999	1.276	3.937	4.381	6.291	Infant100	data
451327.631	451524.271	199.998	1401.404	762.402	0.000	0.083	0.999	1.583	6.681	4.000	4.522	Infant100	data
451540.957	452300.843	763.244	1449.466	873.144	0.000	0.000	0.999	1.034	2.380	2.602	6.171	Infant100	data
452370.831	452577.450	209.963	698.867	235.582	0.000	0.000	0.999	0.479	0.527	1.122	1.999	Infant100	data
453124.028	453320.751	199.983	641.176	169.159	1.000	0.000	0.999	0.571	0.631	0.997	2.497	Infant100	data
453334.075	453673.962	343.218	617.517	194.276	1.000	0.058	0.999	0.551	0.615	1.441	1.982	Infant100	data
453930.595	454013.915	86.670	613.923	200.791	1.000	0.423	0.999	0.455	0.593	0.547	1.702	Infant100	data
