FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
297455.701	297699.035	246.583	1479.891	265.380	0.000	0.000	1.042	0.277	0.211	1.045	0.985	Adult115	data
297718.984	298118.952	403.324	1545.258	227.084	0.000	0.000	1.042	0.241	0.115	0.620	0.624	Adult115	data
298168.888	298378.865	213.323	967.968	448.263	0.000	0.000	1.042	0.325	0.215	0.917	1.017	Adult115	data
298405.604	299288.784	886.437	959.864	501.568	0.000	0.000	1.042	0.374	0.324	1.019	1.405	Adult115	data
299308.716	299428.750	123.402	833.909	506.604	0.000	0.000	1.042	0.403	0.374	1.110	0.980	Adult115	data
299488.768	300395.254	909.828	1532.238	230.872	0.000	0.000	1.042	0.228	0.236	1.213	0.807	Adult115	data
300441.933	300735.202	296.620	934.865	507.285	0.000	0.000	1.042	0.396	0.313	0.910	1.422	Adult115	data
300758.490	301375.154	619.929	969.115	484.870	0.000	0.000	1.042	0.324	0.315	1.052	1.026	Adult115	data
301425.097	301988.348	566.606	387.335	282.410	0.000	0.000	1.042	0.270	0.423	1.187	1.414	Adult115	data
302008.391	302251.625	246.576	425.624	248.605	0.000	0.000	1.042	0.254	0.127	0.582	0.618	Adult115	data
302324.955	303401.512	1079.832	957.920	499.227	0.000	0.000	1.042	0.319	0.553	1.631	1.312	Adult115	data
303448.091	303828.025	383.300	424.749	294.303	0.000	0.000	1.042	0.240	0.160	0.702	0.801	Adult115	data
303858.045	304307.988	453.274	415.114	261.475	0.000	0.000	1.042	0.240	0.129	0.736	0.817	Adult115	data
304354.664	304487.917	136.619	814.839	425.266	0.000	0.000	1.042	0.346	0.275	0.932	0.745	Adult115	data
304504.609	305417.797	916.544	966.095	494.599	0.000	0.000	1.042	0.349	0.385	1.292	1.588	Adult115	data
305477.809	306234.367	759.890	420.881	837.719	0.000	0.000	1.042	0.401	0.278	1.095	1.692	Adult115	data
306294.352	307420.865	1129.871	953.276	496.958	0.000	0.000	1.042	0.332	0.342	1.264	1.577	Adult115	data
307470.916	308297.429	829.863	407.924	834.098	0.000	0.000	1.042	0.514	0.823	1.809	2.798	Adult115	data
308350.725	308544.017	196.641	893.388	542.088	0.000	0.000	1.042	0.365	0.323	1.032	1.173	Adult115	data
308564.048	309453.926	893.145	962.864	497.628	0.000	0.000	1.042	0.372	0.492	1.173	2.005	Adult115	data
309507.239	310250.438	746.559	411.269	827.178	0.000	0.000	1.042	0.661	0.794	1.394	3.010	Adult115	data
310297.132	311386.925	1093.118	948.549	475.018	0.000	0.000	1.042	0.414	0.462	1.411	2.198	Adult115	data
311443.578	312386.753	946.536	1539.843	228.384	0.000	0.000	1.042	0.255	0.271	1.302	1.117	Adult115	data
312433.446	313400.005	969.798	945.704	482.410	0.000	0.000	1.042	0.426	0.494	1.605	1.562	Adult115	data
313456.649	314026.518	573.227	1515.597	263.279	0.000	0.000	1.042	0.267	0.279	1.222	1.146	Adult115	data
314046.557	314269.838	226.647	1554.044	206.718	0.000	0.000	1.042	0.227	0.112	0.545	0.583	Adult115	data
314343.188	314616.431	276.583	910.483	499.654	0.000	0.000	1.042	0.341	0.311	0.976	1.236	Adult115	data
314636.458	315432.970	799.857	957.353	493.925	0.000	0.000	1.042	0.362	0.430	1.497	1.472	Adult115	data
315479.647	315682.894	206.621	1481.965	743.692	0.000	0.000	1.042	1.124	1.943	1.653	3.130	Adult115	data
315752.986	315926.242	176.587	1573.869	863.748	0.000	0.000	1.042	0.274	0.124	0.535	0.637	Adult115	data
315972.909	316039.526	69.988	1576.030	866.531	0.000	0.000	1.042	0.313	0.151	0.539	0.647	Adult115	data
316082.872	316376.143	296.628	1571.104	864.534	0.000	0.000	1.042	0.423	0.483	1.181	1.629	Adult115	data
316426.194	317402.651	979.803	951.106	484.996	0.000	0.000	1.042	0.338	0.448	1.650	1.275	Adult115	data
317452.687	317839.249	389.912	438.703	270.475	0.000	0.000	1.042	0.289	0.150	0.947	0.818	Adult115	data
317862.642	318262.533	403.233	404.242	245.264	0.000	0.000	1.042	0.251	0.221	0.995	0.953	Adult115	data
318325.892	319369.078	1046.431	959.873	483.734	0.000	0.000	1.042	0.371	0.427	1.525	1.580	Adult115	data
319422.370	320285.616	866.507	1524.236	249.939	0.000	0.000	1.042	0.281	0.355	1.548	1.085	Adult115	data
320332.220	320745.504	416.656	931.827	497.291	0.000	0.000	1.042	0.442	0.385	1.346	1.262	Adult115	data
320762.197	321398.739	639.913	956.049	479.018	0.000	0.000	1.042	0.399	0.325	1.288	1.143	Adult115	data
321445.443	321818.655	376.587	431.585	289.239	0.000	0.000	1.042	0.248	0.113	0.921	0.530	Adult115	data
321841.972	322231.980	393.276	401.740	261.398	0.000	0.000	1.042	0.244	0.155	0.692	0.701	Adult115	data
322281.909	322461.868	183.319	907.811	476.938	0.000	0.000	1.042	0.334	0.479	1.449	1.102	Adult115	data
322481.910	323425.108	946.552	966.255	496.570	0.000	0.000	1.042	0.373	0.487	1.386	1.433	Adult115	data
323481.768	323655.105	176.595	438.678	851.321	0.000	0.000	1.042	0.597	0.454	0.725	1.909	Adult115	data
323675.022	324388.240	716.571	404.597	850.623	0.000	0.000	1.042	0.657	0.628	1.142	2.992	Adult115	data
324441.630	324771.511	333.238	938.152	517.776	0.000	0.000	1.042	0.357	0.360	1.186	1.352	Adult115	data
324781.592	325411.451	633.235	964.027	492.161	0.000	0.000	1.042	0.349	0.563	1.048	1.725	Adult115	data
325474.737	325944.694	473.317	1575.009	845.681	0.000	0.000	1.042	0.614	0.663	1.269	2.393	Adult115	data
325958.021	326181.293	226.641	1599.859	871.614	0.000	0.000	1.042	0.239	0.133	0.682	0.711	Adult115	data
326197.989	326437.947	243.326	1575.787	892.829	0.000	0.000	1.042	0.459	0.515	1.092	2.756	Adult115	data
326481.283	326724.510	246.594	958.072	534.208	0.000	0.000	1.042	0.333	0.271	0.960	0.966	Adult115	data
326747.909	327407.775	663.224	946.947	496.705	0.000	0.000	1.042	0.344	0.265	0.971	1.265	Adult115	data
327457.724	328184.349	729.980	1519.068	263.015	0.000	0.000	1.042	0.261	0.259	1.352	0.725	Adult115	data
328201.020	328341.007	143.257	1552.045	258.993	0.000	0.000	1.042	0.273	0.112	0.739	0.560	Adult115	data
328407.617	328610.890	206.605	902.612	512.236	0.000	0.000	1.042	0.342	0.272	0.777	1.228	Adult115	data
328634.260	329244.120	613.200	964.000	504.476	0.000	0.000	1.042	0.358	0.451	1.354	1.474	Adult115	data
329267.507	329477.465	213.319	928.146	501.424	0.000	0.000	1.042	0.318	0.182	0.761	0.661	Adult115	data
329560.777	329854.044	296.631	441.431	891.584	0.000	0.000	1.042	0.302	0.233	0.819	1.022	Adult115	data
329874.075	330430.637	559.905	410.630	866.877	0.000	0.000	1.042	0.605	0.581	1.002	2.999	Adult115	data
330490.640	331420.493	933.223	960.079	514.391	0.000	0.000	1.042	0.319	0.428	1.516	1.781	Adult115	data
331477.163	331693.733	219.937	447.324	782.560	0.000	0.000	1.042	0.317	0.204	0.664	0.891	Adult115	data
331713.776	332240.407	529.895	423.313	825.602	0.000	0.000	1.042	0.602	0.474	0.997	2.223	Adult115	data
332260.345	332423.713	166.640	418.838	874.089	0.000	0.000	1.042	0.657	0.496	0.761	2.703	Adult115	data
332473.656	333423.567	953.164	966.887	504.557	0.000	0.000	1.042	0.315	0.363	1.303	1.159	Adult115	data
333503.509	334433.372	933.234	413.732	866.702	0.000	0.000	1.042	0.324	0.285	0.902	2.956	Adult115	data
334486.687	335469.873	986.526	950.186	514.738	0.000	0.000	1.042	0.305	0.501	1.316	1.463	Adult115	data
335533.236	336019.783	489.902	1518.170	255.395	0.000	0.000	1.042	0.265	0.240	1.323	0.976	Adult115	data
